Ticker,Status,Gates_Passed,Close,EMA_200,RSI,ADX,OBV,OBV_EMA_20,MACD_Line,Signal_Line,ATR,Aroon_Up,Aroon_Down,RSI_Score,ADX_Score,OBV_Score,Structural_Score,Aroon_Score,Final_Mo_Score
FLNG,Disqualified,+DI <= -DI | MACD fails conditions,29.479999542236328,27.346895738429595,41.82479844541019,11.42948686716457,6292400.0,7753028.318490826,-0.15177856533470546,-0.12305408522409585,0.782295913400115,35.714285714285715,100.0,0,0,0,0,0,0
FSLR,Disqualified,+DI <= -DI | MACD fails conditions,239.07000732421875,227.23903163780204,41.318368980299525,23.359412428167076,21494400.0,21883778.61276384,-1.154124470187412,4.701382319236808,15.201516416926633,0.0,100.0,0,0,0,0,0,0
GNRC,Disqualified,Passed,278.6199951171875,209.28249689527416,53.397565137233855,16.20022829811641,33560900.0,31779984.076945543,7.079074959790887,6.050220569292838,15.343160598754093,92.85714285714286,21.428571428571427,0,0,0,0,10,10
HASI,Disqualified,+DI <= -DI | MACD fails conditions,39.58000183105469,35.357074690381964,52.3472632281875,14.881099818008511,3953000.0,2096531.2177567743,-0.25687143223615294,-0.44255936387851175,1.0433617970865499,0.0,21.428571428571427,0,0,0,0,0,0
HBM.TO,Disqualified,+DI <= -DI | MACD fails conditions,33.040000915527344,29.747773827049887,39.77734008297989,17.40546026344025,71670900.0,71513999.8141161,-0.42731504655851893,0.4645681095962162,2.241133953348869,35.714285714285715,85.71428571428571,0,0,0,0,0,0
HYLN,Disqualified,+DI <= -DI | MACD fails conditions,4.420000076293945,3.0485483564062306,38.03169382338151,45.87872408499793,61969900.0,70971558.41562173,0.16904996438036068,0.6566043305419863,0.8608963995205184,64.28571428571429,100.0,0,0,0,0,0,0
IBE.MC,Passed,Passed,21.690000534057617,18.826859716689768,81.8146840934803,31.809926103348054,177739688.0,163172775.51381293,0.45363527247170765,0.3260288401160081,0.34569866187760295,100.0,7.142857142857142,-10,10,10,5,10,25
IFX.DE,Disqualified,MACD fails conditions,78.30000305175781,51.11656361371709,51.955520973601004,33.765087995803455,117236525.0,121811096.61680081,2.923357675646571,3.837408992365245,4.474500244823063,71.42857142857143,0.0,0,0,0,0,0,0
IONQ,Disqualified,+DI <= -DI | MACD fails conditions,49.310001373291016,47.28501670176971,39.91056677003137,20.398932759716363,436455300.0,545841710.5344237,-0.9275186389891914,0.7252275933384112,5.31713081386367,7.142857142857142,100.0,0,0,0,0,0,0
ITM.L,Disqualified,+DI <= -DI | MACD fails conditions,111.5,100.99747278943337,34.289171322042264,22.003600470463766,63373177.0,85162632.44052766,-10.139453446591887,-7.219215643035616,11.954144341755862,0.0,100.0,0,0,0,0,0,0
KGS,Passed,Passed,76.2699966430664,53.14478874817528,66.45218528129683,23.538735232032902,56180800.0,45307033.35340473,1.175590755472669,0.3945231827797887,2.76495564937334,100.0,0.0,10,5,0,5,10,30
KMI,Disqualified,Passed,33.189998626708984,30.225436740090963,62.249167093593286,14.956485831087127,250146400.0,215898748.53511792,0.14208083853494458,-0.06342699873040823,0.6872666287927058,100.0,64.28571428571429,10,0,0,5,0,15
KNTK,Disqualified,Passed,49.75,43.25702005503529,62.37754133694013,14.706789829165942,14662400.0,10449835.25017729,0.16127897062006724,-0.23260445995623277,1.5301381342849911,100.0,64.28571428571429,10,0,0,0,0,10
LBRT,Disqualified,+DI <= -DI | MACD fails conditions,26.860000610351562,24.331093923319546,39.00687089907877,22.65024843135615,88367200.0,101013178.37029219,-1.0739617002028687,-0.9797891391506225,1.3519641243316183,0.0,85.71428571428571,0,0,0,0,0,0
LNG,Disqualified,MACD fails conditions,241.63999938964844,236.32449293784322,53.94160335959849,16.145100554190545,-33700.0,-6843207.638327019,-2.506766186943395,-3.5590600659832106,7.692469246411197,21.428571428571427,64.28571428571429,0,0,0,0,0,0
LR.PA,Disqualified,Passed,144.9499969482422,137.07607702561793,49.27195462133552,17.749795735351423,15642062.0,16309343.38785042,0.3273038906727379,-0.35176711274566597,4.42594541578224,71.42857142857143,21.428571428571427,0,0,0,5,10,15
MEL.NZ,Disqualified,+DI <= -DI | MACD fails conditions,5.75,5.680321033327322,46.00220628335555,9.631370606151602,88172042.0,82648756.796152,0.00830139673434438,0.023719178889050434,0.16101873507981024,64.28571428571429,100.0,0,0,0,0,0,0
MGY,Disqualified,+DI <= -DI | MACD fails conditions,26.780000686645508,26.450187297838063,42.190869773802596,25.048324877466595,26673600.0,34391609.14963123,-0.45406890112228027,-0.4654960708060554,0.8828604975430487,28.57142857142857,85.71428571428571,0,0,0,0,0,0
