Ticker,Signal_Date,Long_Term_Status,Score,Weekly_Stage,Signal_Close,Next_Open,D_Minus_1_Close,D_Plus_1_Close,D_Plus_2_Close,D_Minus_1_Lt_D,D_Lt_D_Plus_1,D_Lt_D_Plus_2,D1_D2_Confirmation,Trend_Score,Relative_Strength_Score,Breakout_Score,Accumulation_Score,Volatility_Score,Weekly_Stage_Score,RS_126D_Excess_Pct,RS_Slope_Pct_50D,Distance_From_52W_High_Pct,Net_Accumulation_50,Distribution_Days_50,ATR_Pct,Forward_21D_Return_Pct,Forward_63D_Return_Pct,Forward_126D_Return_Pct,Forward_252D_Return_Pct
APH,2023-12-11,Momentum Candidate,100,Stage 2,47.619998931884766,47.625,46.6150016784668,47.72999954223633,48.064998626708984,True,True,True,True,30,21,20,15,10,15,13.13482120866534,4.924051684075481,0.14678066018021466,5.0,3.0,1.058978477972835,1.228344534325787,16.041993469078086,44.23097625492125,54.3936982242454
APH,2024-01-11,Momentum Candidate,99,Stage 2,48.209999084472656,48.435001373291016,48.10499954223633,48.25,48.06999969482422,True,True,False,False,30,21,8,15,10,15,6.523335427970167,5.177927972654928,3.5124608481049626,5.0,2.0,1.3097460989811038,8.423656241717993,16.981517995076768,43.92484176311704,45.08102539626657
APH,2024-02-12,Momentum Candidate,100,Stage 2,52.51499938964844,51.584999084472656,52.64500045776367,51.540000915527344,52.05500030517578,False,False,False,False,30,21,20,15,10,15,8.017859633339919,5.687031723118574,0.5962567300557697,3.0,3.0,1.6736710101185233,7.13385745950994,23.25288932726295,25.59853070740765,34.47708438064652
APH,2024-03-13,Momentum Candidate,100,Stage 2,55.26499938964844,55.51499938964844,55.29999923706055,54.689998626708984,54.650001525878906,False,False,False,False,30,21,20,11,10,15,11.94186455796078,2.713515503074748,1.6637034886084792,2.0,2.0,1.3939341091516488,2.062506476361725,23.732330355054422,14.29343683784785,15.031975704676249
APH,2024-04-12,Momentum Candidate,91,Stage 2,56.65999984741211,57.275001525878906,57.939998626708984,56.19499969482422,56.28499984741211,False,False,False,False,30,21,8,7,10,15,16.80318944550221,5.950066887902494,5.242910640578249,3.0,2.0,2.452600183821434,11.008293561244088,21.711038371557567,14.465291683966841,14.814492159406978
APH,2024-05-13,Momentum Candidate,100,Stage 2,63.58000183105469,63.61000061035156,63.78499984741211,64.27999877929688,65.9800033569336,False,True,True,False,30,25,20,15,10,15,29.424877344922116,12.9793972093575,1.1428136242724702,6.0,4.0,2.0525330922792606,7.986168499152613,1.8550546987162742,15.406387294017755,35.15170632888316
APH,2024-06-12,Momentum Candidate,100,Stage 2,68.69000244140625,68.80000305175781,67.21499633789062,68.98999786376953,68.2699966430664,True,True,False,False,30,25,20,10,10,15,27.066098592061394,16.456002185680198,0.8730727231769991,4.0,6.0,2.1353688074223665,1.3226685935322724,-7.776165772541588,6.87499348507401,35.72673417349819
APH,2024-07-15,Momentum Candidate,92,Stage 2,69.70999908447266,70.29000091552734,69.86000061035156,70.41000366210938,64.22000122070312,False,True,False,False,30,12,20,5,10,15,26.71474334423614,4.167246177724171,1.5951401917472436,-1.0,4.0,1.6445686479238961,-7.824726032668227,-6.72926916392843,-0.02845962754357556,45.05619256856388
APH,2024-10-11,Watchlist Candidate,72,Stage 2,65.55999755859375,66.11000061035156,64.55999755859375,67.37999725341797,65.69999694824219,True,True,True,True,30,4,8,5,10,15,2.25367715782272,-1.1214882314506736,7.453414811192939,-1.0,4.0,2.024320732496381,11.042206904192309,6.292536672679239,-0.5294183495534455,89.9863822637063
APH,2024-11-11,Momentum Candidate,94,Stage 2,73.41000366210938,73.5999984741211,73.87000274658203,71.98999786376953,72.33000183105469,False,False,False,False,30,4,20,15,10,15,0.5158312790862531,2.459715296737386,1.7268987132979636,4.0,4.0,2.3984665670496756,-0.09510828298295859,-5.74727692287439,16.80706929760538,83.76359076631776
APH,2025-02-10,Watchlist Candidate,70,Stage 2,71.80000305175781,70.87000274658203,69.80000305175781,69.94999694824219,69.7300033569336,True,False,False,False,30,4,8,6,7,15,1.1366139419334509,-3.2186214085100917,9.56039349570807,1.0,7.0,4.147431136216564,-11.344716528764497,19.175950065200254,57.824176858121355,103.24536151239205
APH,2025-05-16,Momentum Candidate,100,Stage 2,86.87999725341797,84.83999633789062,85.97000122070312,86.41000366210938,86.29000091552734,True,False,False,False,30,25,20,6,10,15,21.135767121312732,35.60789143583245,0.0919984267444322,1.0,7.0,2.096488459906882,9.38237512666198,30.905236153331785,57.63791992696501,40.499766729723376
APH,2025-06-17,Momentum Candidate,100,Stage 2,92.80000305175781,92.77999877929688,93.37999725341797,93.47000122070312,93.81999969482422,False,True,True,False,30,25,14,15,10,15,27.21217427629501,32.802536710668576,2.1406714542866285,4.0,2.0,1.8188136540882902,11.381760829415022,27.624493662454785,39.17870940048649,76.71913006152526
APH,2025-07-18,Momentum Candidate,100,Stage 2,103.33999633789062,103.04000091552734,101.95999908447266,103.70999908447266,101.77999877929688,True,True,False,False,30,25,20,11,10,15,39.781227556098365,15.436438428108401,0.3471558543355047,2.0,1.0,1.8109434533785107,7.7833817661174365,23.6024839661656,49.835013604297274,
APH,2025-08-18,Momentum Candidate,100,Stage 2,111.05999755859375,110.80999755859375,109.20999908447266,109.9800033569336,108.6500015258789,True,False,False,False,30,25,20,5,10,15,55.726033793945625,10.662329829115302,1.1481984272785593,-2.0,5.0,2.449126769838605,6.858592429349097,20.693085858471804,33.31829165452591,
APH,2025-09-17,Momentum Candidate,100,Stage 2,118.41000366210938,119.0,119.04000091552734,122.06999969482422,123.94000244140625,False,True,True,False,30,25,20,0,10,15,67.95358720840616,14.39594285707717,1.9784762659520974,-2.0,6.0,2.4973764206015567,7.025210596934084,8.512609145220583,9.789910837381832,
APH,2025-10-16,Momentum Candidate,100,Stage 2,127.36000061035156,126.23999786376953,125.5999984741211,125.6500015258789,127.66999816894531,True,False,True,False,30,25,20,15,10,15,70.95605114401727,11.405548805750465,0.5931896158291244,3.0,3.0,2.6589422242296776,5.941070782881419,22.298797530285654,21.047211774747442,
APH,2025-11-14,Momentum Candidate,95,Stage 2,133.74000549316406,132.58999633789062,135.25,132.3300018310547,132.44000244140625,False,False,False,False,30,25,8,7,10,15,40.85502477742291,16.63716207883159,7.363018621282698,5.0,4.0,3.2910358244465123,-2.609541858844866,11.4186588791102,-10.098800633137916,
APH,2026-04-17,Momentum Candidate,90,Stage 2,151.05999755859375,153.0,148.9600067138672,152.80999755859375,151.92999267578125,True,True,True,True,30,21,14,0,10,15,13.510017487645332,12.281064790437291,9.566568707989571,-3.0,7.0,3.316564062124003,-20.444443646599264,,,
DDOG,2020-11-27,Watchlist Candidate,75,Stage 2,96.41999816894531,97.01000213623047,93.51000213623047,98.91999816894531,95.66999816894531,True,True,False,False,30,8,4,11,7,15,19.732333249428272,2.0531953228908773,18.378057723898323,1.0,5.0,5.421222752755321,1.968865055824498,-3.6078753973069477,-5.2881195442182065,88.63003964909977
DDOG,2021-01-14,Watchlist Candidate,78,Stage 2,101.83999633789062,102.30000305175781,104.8499984741211,99.83999633789062,99.08999633789062,False,False,False,False,30,17,4,5,7,15,1.3919008025403912,0.5928807076591935,13.789893586961893,0.0,5.0,4.604491950671695,5.141734457402403,-11.691110808487581,2.287386381314893,32.09188744055525
DDOG,2021-02-16,Watchlist Candidate,75,Stage 2,107.55999755859375,103.5,112.86000061035156,103.08000183105469,106.4000015258789,False,False,False,False,30,8,8,7,7,15,15.933046008626238,7.556924407729326,9.941139577938923,5.0,5.0,5.2328257351890315,-16.386472545384212,-21.710146106959538,29.00483504585598,58.79227642851752
DDOG,2021-08-05,Momentum Candidate,88,Stage 2,132.47000122070312,129.82000732421875,114.93000030517578,131.9199981689453,130.0,True,False,False,False,30,4,14,15,10,15,3.972040496915888,40.005671916524754,2.149507724296752,6.0,0.0,3.5869035000613287,6.3472421579795935,25.396690881069837,6.3164354380008,-12.733019161991399
DDOG,2021-09-03,Momentum Candidate,100,Stage 2,138.05999755859375,138.17999267578125,137.08999633789062,137.36000061035156,139.57000732421875,True,False,True,False,30,25,20,11,10,15,59.40165276917,21.696816560279665,1.1597903795339952,1.0,5.0,3.0319624285351137,2.6849087498304947,18.844991985215167,-5.840202991155685,-33.18135278260343
